term,category,counts,implicit_opinion_rule
浮粉现象,使用体验,{'使用体验': 1},0
涨价,价格,{'价格': 1},0
淡斑,功效,{'功效': 2},0
清洁,功效,{'功效': 3},0
清洁作用,功效,{'功效': 1},0
清洁力,功效,{'功效': 4},0
清洁度,功效,{'功效': 2},0
清洁效果,功效,{'功效': 9},0
清洁皮肤效果,功效,{'功效': 1},0
清洁能力,功效,{'功效': 17},1
清洗,功效,{'功效': 3},0
清洗的效果,功效,{'功效': 1},0
清爽度,使用体验,{'使用体验': 1},1
清理力,功效,{'功效': 1},0
清香,气味,{'气味': 1},0
清香味,气味,{'气味': 1},0
渗透性,功效,{'功效': 1},0
温和程度,使用体验,{'使用体验': 2},0
滋润度,使用体验,{'使用体验': 2},0
物流,物流,{'物流': 196},0
物流小哥服务,物流,{'物流': 1},0
物流服务,物流,{'物流': 3},0
物流速度,物流,{'物流': 12},1
物流配送,物流,{'物流': 1},0
物流配送中心,物流,{'物流': 1},0
瓶口,包装,{'包装': 2},0
瓶子,包装,{'包装': 4},0
瓶子塑料,包装,{'包装': 1},0
瓶盖,物流,{'物流': 1},0
瓶盖设计,包装,{'包装': 1},0
生产日期,新鲜度,{'新鲜度': 1},0
痘痘,使用体验,{'使用体验': 1},0
白的,功效,{'功效': 1},0
盒子,包装,{'包装': 4},0
盒子颜值,包装,{'包装': 1},0
盖子,包装,{'包装': 1},0
礼品,价格,"{'服务': 1, '价格': 5}",1
礼物,价格,{'价格': 2},1
礼盒,包装,{'包装': 1},0
礼盒包装,包装,{'包装': 1},0
粉底,气味,{'气味': 1},0
粉扑,使用体验,{'使用体验': 1},0
粉扑设计,包装,{'包装': 1},0
粉液,使用体验,{'使用体验': 1},0
粉质,使用体验,{'使用体验': 4},0
精华,成分,{'成分': 20},0
精华水,成分,{'成分': 1},0
精华液,成分,{'成分': 17},0
精华液量,成分,{'成分': 1},0
精华素,成分,{'成分': 1},0
紧致,功效,{'功效': 1},1
纸质,其他,{'其他': 1},0
美容液,成分,{'成分': 1},0
美白,功效,{'功效': 6},1
美白作用,功效,{'功效': 1},1
美白效果,功效,{'功效': 10},1
老板,服务,{'服务': 2},0
肤色,功效,{'功效': 2},0
肤色提亮,功效,{'功效': 1},0
色号,功效,{'功效': 1},0
色泽,使用体验,{'使用体验': 1},0
营养液,成分,{'成分': 1},0
蚕丝面料,成分,{'成分': 1},1
补水,功效,{'功效': 32},1
补水效果,功效,"{'功效': 74, '整体': 1}",1
补水美白效果,功效,{'功效': 1},0
袋子,包装,{'包装': 1},0
设计,其他,"{'包装': 1, '其他': 2}",0
说明书,包装,{'包装': 1},0
质地,使用体验,{'使用体验': 3},0
质量,其他,{'其他': 11},0
贴合,使用体验,{'使用体验': 1},0
贴合度,使用体验,{'使用体验': 3},0
赠品,价格,"{'价格': 50, '其他': 1, '整体': 1}",1
赠的东西,价格,{'价格': 1},0
起泡量,使用体验,{'使用体验': 1},0
运货速度,物流,{'物流': 1},0
送货,物流,{'物流': 22},0
送货速度,物流,{'物流': 14},0
透气性,使用体验,{'使用体验': 2},0
速度,物流,"{'物流': 36, '整体': 1}",1
遮暇,功效,{'功效': 2},0
遮暇功能,功效,{'功效': 1},0
遮暇效果,功效,{'功效': 4},0
遮瑕,功效,{'功效': 9},0
遮瑕力,功效,{'功效': 2},0
遮瑕效果,功效,{'功效': 17},1
遮瑕的效果,功效,{'功效': 1},0
遮盖力,功效,{'功效': 2},0
遮黄效果,功效,{'功效': 1},0
配送,物流,{'物流': 3},0
配送服务,物流,{'物流': 1},0
配送服务态度,物流,{'物流': 1},0
配送速度,物流,{'物流': 1},0
酒精味,气味,"{'使用体验': 1, '气味': 5}",1
酒精味道,气味,{'气味': 1},0
酒精的味道,气味,{'气味': 1},0
量,其他,"{'其他': 2, '尺寸': 1}",0
锁水效果,功效,{'功效': 1},0
问道,气味,{'气味': 1},0
防晒,功效,{'功效': 2},0
防晒效果,功效,{'功效': 8},1
降价,价格,{'价格': 1},1
隔离,功效,{'功效': 4},0
隔离效果,功效,{'功效': 13},1
面积,尺寸,{'尺寸': 1},0
面膜液,成分,{'成分': 1},0
面膜纸,使用体验,{'使用体验': 6},0
颜值,包装,{'包装': 3},0
颜色,功效,"{'功效': 11, '其他': 5, '包装': 5}",0
香味,气味,{'气味': 30},1
香精,成分,{'成分': 1},1
