term,polarity,pos_n,neu_n,neg_n,top_category
不知道真假,中性,0,1,0,真伪
不算太贵,正面,1,0,0,价格
不算贵,正面,1,0,0,价格
不算高,正面,1,0,0,价格
不粘,正面,1,0,0,使用体验
不粘稠,正面,1,0,0,使用体验
不紧崩,正面,1,0,0,使用体验
不紧绷,正面,27,0,0,使用体验
不给力,负面,0,0,1,价格
不能用,负面,0,0,1,整体
不脱妆,正面,2,0,0,使用体验
不腻,正面,1,0,0,使用体验
不蜕皮,正面,1,0,0,使用体验
不行,负面,0,0,2,包装
不规整,负面,0,0,2,尺寸
不觉得油腻,正面,1,0,0,使用体验
不解决,负面,0,0,1,服务
不贴,负面,0,0,1,使用体验
不贴合,负面,0,0,1,使用体验
不贵,正面,13,0,0,价格
不起干皮,正面,1,0,0,使用体验
不起皮,正面,1,0,0,使用体验
不足四年,负面,0,0,1,新鲜度
不跑妆,正面,1,0,0,使用体验
不过敏,正面,11,0,0,使用体验
不适合,负面,0,0,3,功效
不适应,负面,0,0,1,气味
不遮眼睛,正面,1,0,0,使用体验
不错,正面,443,1,0,整体
不错不错,正面,1,0,0,整体
不错哦,正面,3,0,0,整体
不错的,正面,8,0,0,整体
不长闭合,正面,1,0,0,使用体验
不高,正面,2,0,0,价格
不黏不腻,正面,1,0,0,使用体验
不黏糊糊,正面,1,0,0,使用体验
专业,正面,1,0,0,物流
东西少了,负面,0,0,1,其他
丝润,正面,1,0,0,使用体验
丝薄,正面,1,0,0,使用体验
严实,正面,3,0,0,包装
中空的,负面,0,0,1,物流
丰富,正面,4,0,0,使用体验
也不好使,负面,0,0,1,整体
也很好,正面,2,0,0,服务
也快,正面,1,0,0,物流
买的值,正面,1,0,0,价格
五分好评,正面,2,0,0,整体
五星,正面,1,0,0,整体
五星好评,正面,13,0,0,整体
亮亮的,正面,1,0,0,功效
亮白,正面,1,0,0,功效
亮肤,正面,1,0,0,功效
亲民,正面,3,0,0,价格
人很好,正面,1,0,0,物流
仔细,正面,1,0,0,包装
价廉物美,正面,2,0,0,价格
优惠,正面,11,0,0,价格
优惠多多,正面,1,0,0,价格
优惠很多,正面,1,0,0,价格
优秀,正面,1,0,0,整体
优雅,正面,1,0,0,气味
会不会过敏,中性,0,2,0,使用体验
会掉粉,负面,0,0,1,使用体验
会紧绷,负面,0,0,1,使用体验
会紧缩,负面,0,0,1,使用体验
会起脂肪粒,负面,0,0,1,使用体验
低一点,正面,1,0,0,价格
佩服,正面,1,0,0,物流
便宜,正面,68,0,0,价格
便宜一点,正面,1,0,0,价格
便宜不少,正面,1,0,0,价格
便宜了好多,正面,1,0,0,价格
便宜了很多,正面,2,0,0,价格
便宜又实惠,正面,1,0,0,价格
便宜多了,正面,1,0,0,价格
便宜太多了,正面,1,0,0,价格
便宜好多,正面,2,0,0,价格
便宜实惠,正面,3,0,0,价格
便宜很多,正面,3,0,0,价格
便宜得多,正面,1,0,0,价格
保湿,正面,18,0,0,功效
修正肤色,正面,1,0,0,功效
修饰肤色,正面,1,0,0,功效
值得信赖,正面,2,0,0,其他
值得推荐,正面,1,0,0,整体
值得点赞,正面,1,0,0,物流
假的,负面,0,0,7,真伪
假货,负面,0,0,3,真伪
偏暗,负面,0,0,1,功效
偏深,负面,0,0,1,包装
偏白,中性,0,1,0,功效
偏黄,负面,0,0,1,功效
像正品,正面,1,0,0,真伪
充足,正面,2,0,0,成分
光光的,正面,1,0,0,使用体验
光洁,正面,1,0,0,使用体验
光滑,正面,3,0,0,使用体验
再便宜点,负面,0,0,1,价格
冰冰凉凉,正面,1,0,0,使用体验
几乎没有,负面,0,0,1,成分
出乎意外的快,正面,1,0,0,物流
出奇的快,正面,1,0,0,物流
分量足,正面,1,0,0,其他
划算,正面,20,0,0,价格
划算多了,正面,1,0,0,价格
刚刚合适,正面,1,0,0,使用体验
刚好,正面,1,0,0,尺寸
别太香,中性,0,1,0,气味
到位,正面,1,0,0,价格
到家,正面,1,0,0,物流
到期,负面,0,0,1,新鲜度
刺激,负面,0,0,1,使用体验
刺激皮肤,负面,0,0,1,使用体验
刺痒,负面,0,0,1,使用体验
刺痛,负面,0,0,1,使用体验
刺鼻,负面,0,0,2,气味
卡,负面,0,0,1,使用体验
卡粉,负面,0,0,4,使用体验
卸不干净,负面,0,0,2,功效
卸不掉,负面,0,0,1,功效
卸得干净,正面,1,0,0,功效
压扁了,负面,0,0,1,包装
厚重,中性,0,1,0,使用体验
去除暗沉,正面,1,0,0,功效
又划算,正面,1,0,0,价格
又白又亮,正面,1,0,0,功效
及时,正面,2,0,0,物流
发错,负面,0,0,1,物流
变白,正面,1,0,0,功效
变白了,正面,1,0,0,功效
可以,正面,35,0,0,整体
可以哦,正面,1,0,0,整体
可以啊,正面,1,0,0,整体
可以的,正面,5,0,0,整体
可干,负面,0,0,1,使用体验
可遮瑕,正面,1,0,0,功效
合理,正面,5,0,0,价格
合算,正面,1,0,0,价格
合适,正面,10,0,0,价格
听服帖,正面,1,0,0,使用体验
听水嫩的,正面,1,0,0,使用体验
听湿润,正面,1,0,0,使用体验
吸收,正面,1,0,0,使用体验
吸收不是很好,负面,0,0,1,使用体验
周到,正面,1,0,0,服务
哑光质感,正面,1,0,0,使用体验
唯美,正面,1,0,0,使用体验
喜欢,正面,87,0,0,整体
喜欢喜欢,正面,1,0,0,整体
喜欢的,正面,1,0,0,气味
四星,正面,2,0,0,功效
均匀,正面,3,0,0,功效
均匀肤色,正面,2,0,0,功效
坏了,负面,0,0,1,包装
坏的,负面,0,0,1,包装
坑人,负面,0,0,1,整体
垃圾,负面,0,0,5,整体
增白,正面,2,0,0,功效
多,正面,11,0,0,成分
多块,正面,1,0,0,物流
多多优惠,正面,1,0,0,价格
多多促销,正面,1,0,0,价格
够快,正面,1,0,0,物流
够用了,正面,1,0,0,功效
够随意,负面,0,0,1,包装
大,正面,2,0,0,价格
大大的,中性,0,1,0,包装
大气上档次,正面,1,0,0,使用体验
大爱,正面,5,0,0,整体
大爱呀,正面,1,0,0,整体
大赞,正面,1,0,0,整体
太一般了,负面,0,0,1,整体
太不好,负面,0,0,1,功效
太不靠谱,负面,0,0,1,物流
太不靠谱了,负面,0,0,1,整体
太丑了,负面,0,0,1,包装
太假了,负面,0,0,3,整体
太划算,正面,1,0,0,价格
太划算了,正面,1,0,0,价格
太刺鼻,负面,0,0,1,气味
太厚,负面,0,0,1,其他
太合适,正面,2,0,0,整体
太合适了,正面,1,0,0,整体
太坑了,负面,0,0,1,整体
太多了,负面,0,0,1,价格
太大了,负面,0,0,1,气味
太失望了,负面,0,0,2,整体
太好,正面,1,0,0,功效
太好了,正面,2,0,0,整体
太好用了,正面,2,0,0,整体
太小,负面,0,0,3,尺寸
太少,负面,0,0,1,成分
太少了,负面,0,0,1,其他
太差,负面,0,0,1,整体
太差了,负面,0,0,4,包装
太差劲,负面,0,0,1,服务
太差劲了,正面,1,0,0,物流
太干,负面,0,0,2,使用体验
太干了,负面,0,0,2,使用体验
太快了,正面,6,0,0,物流
太慢,负面,0,0,1,服务
太慢了,负面,0,0,1,物流
太方便了,正面,1,0,0,使用体验
太棒了,正面,3,0,0,整体
太次,负面,0,0,1,包装
太浓,负面,0,0,1,气味
太白,负面,0,0,1,功效
太白了,负面,0,0,1,功效
太短,负面,0,0,1,新鲜度
太简便,负面,0,0,1,包装
太简单了,负面,0,0,1,包装
太简陋,负面,0,0,1,包装
太简陋了,负面,0,0,1,整体
太简陋了点,正面,1,0,0,包装
太给力,正面,2,0,0,物流
太给力了,正面,3,0,0,物流
太裸妆了,负面,0,0,1,使用体验
太赞了,正面,1,0,0,整体
太超值,正面,2,0,0,价格
太重,负面,0,0,1,气味
太随便了,负面,0,0,3,包装
太香了,负面,0,0,2,气味
失望,负面,0,0,2,整体
好,正面,90,0,0,整体
好一点,正面,1,0,0,整体
好上妆,正面,1,0,0,使用体验
好使,正面,1,0,0,整体
好便宜,正面,1,0,0,价格
好假,负面,0,0,1,真伪
好划算,正面,5,0,0,价格
好刺鼻,负面,0,0,1,气味
好卸妆,正面,1,0,0,功效
好合算,正面,1,0,0,价格
好吸收,正面,3,0,0,使用体验
好喜欢,正面,1,0,0,整体
好多,正面,6,0,0,价格
好多了,正面,1,0,0,整体
好好用,正面,3,0,0,整体
好好的,正面,1,0,0,整体
好实惠,正面,1,0,0,价格
好小,负面,0,0,3,尺寸
好少,负面,0,0,2,其他
好巨大,负面,0,0,1,包装
好差,负面,0,0,2,包装
好帖,正面,2,0,0,使用体验
好干,正面,1,0,0,使用体验
好干净,正面,1,0,0,使用体验
好干燥,负面,0,0,1,使用体验
好开心,正面,1,0,0,整体
好很多,正面,2,0,0,整体
好得不得了,正面,1,0,0,整体
好快,正面,8,0,0,物流
好快就到,正面,1,0,0,物流
好惊喜,正面,1,0,0,整体
好推开,正面,7,0,0,使用体验
好有分量,正面,1,0,0,价格
好有爱,正面,1,0,0,服务
好服务,正面,1,0,0,物流
好服帖,正面,1,0,0,使用体验
好极了,正面,1,0,0,整体
好没用,负面,0,0,1,整体
好洗,正面,1,0,0,使用体验
好浓,负面,0,0,1,使用体验
好清淡,正面,1,0,0,气味
好清爽,正面,1,0,0,使用体验
好用,正面,134,1,0,整体
好用爆了,正面,1,0,0,整体
好用的,正面,1,0,0,整体
好的,正面,1,0,0,整体
好的很,正面,1,0,0,整体
好的没话说,正面,1,0,0,整体
好看,正面,6,0,0,包装
好硬,负面,0,0,1,使用体验
好精致,正面,1,0,0,整体
好自然,正面,1,0,0,功效
好舒服,正面,1,0,0,使用体验
好评,正面,92,1,0,整体
好闻,正面,11,0,0,气味
好香,正面,1,0,0,气味
好，棒,正面,1,0,0,整体
好，用,正面,1,0,0,整体
妥妥的,正面,1,0,0,整体
嫌弃,负面,0,0,1,包装
嫩嫩的,正面,4,0,0,使用体验
完好,正面,7,0,0,包装
完好无损,正面,1,0,0,包装
完整,正面,6,0,0,包装
完美,正面,3,0,0,物流
实在,正面,1,0,0,价格
实惠,正面,72,0,0,价格
实用,正面,2,0,0,整体
容易上妆,正面,1,0,0,功效
容易上装,正面,1,0,0,使用体验
容易冲洗,正面,1,0,0,使用体验
容易吸收,正面,1,0,0,使用体验
容易打开,正面,1,0,0,使用体验
容易抹开,正面,1,0,0,使用体验
容易推开,正面,4,0,0,使用体验
容易油,负面,0,0,1,使用体验
容易清洁,正面,1,0,0,使用体验
对的起,正面,1,0,0,价格
小小,负面,0,0,1,尺寸
小小的,中性,0,1,0,尺寸
少,负面,0,0,2,使用体验
少了点,负面,0,0,1,其他
少的,中性,0,1,0,使用体验
尚不明显,中性,0,1,0,功效
就是好,正面,2,0,0,物流
就是快,正面,2,0,0,物流
就要过期了,负面,0,0,1,新鲜度
巨好用,正面,2,0,0,整体
差,负面,0,0,2,整体
差一些,负面,0,0,2,功效
差不多,正面,3,0,0,整体
差了很多,负面,0,0,1,整体
差劲,负面,0,0,1,包装
差死了,负面,0,0,1,整体
差的要死,负面,0,0,1,功效
差评,负面,0,0,4,整体
希望是正品,中性,0,6,0,真伪
希望满意,中性,0,1,0,整体
常快,正面,1,0,0,物流
干不干净,中性,0,1,0,功效
干净,正面,11,0,0,功效
干巴巴,负面,0,0,1,使用体验
干死了,负面,0,0,1,使用体验
干的脱皮,负面,0,0,1,使用体验
平价,正面,2,0,0,价格
平民价,正面,1,0,0,价格
应该不错,正面,2,0,0,整体
应该不错的,正面,1,0,0,整体
应该也不错,正面,1,0,0,整体
应该可以,正面,1,0,0,整体
应该挺好的,正面,1,0,0,整体
应该改进,负面,0,0,1,物流
应该是真的,正面,1,0,0,真伪
应该还可以,正面,1,0,0,整体
廉,正面,1,0,0,价格
开心,正面,1,0,0,整体
弱,负面,0,0,1,功效
强,正面,5,0,0,功效
强力推荐,正面,1,0,0,整体
强大,正面,1,0,0,物流
很一般,中性,1,2,1,功效
很不好,负面,0,0,1,整体
很不开森,负面,0,0,1,整体
很不错,正面,92,1,0,整体
很不错的,正面,2,0,0,整体
很严实,正面,1,0,0,包装
很丰富,正面,2,0,0,价格
很亮,正面,1,0,0,功效
很亲和,正面,1,0,0,使用体验
很亲民,正面,2,0,0,价格
很优惠,正面,4,0,0,价格
很便宜,正面,15,0,0,价格
很保水,正面,1,0,0,功效
很保湿,正面,8,0,0,功效
很修复,正面,1,0,0,功效
很值,正面,2,0,0,价格
很充足,正面,1,0,0,成分
很光滑,正面,3,0,0,使用体验
很准时,正面,1,0,0,物流
很划来,正面,1,0,0,价格
很划算,正面,55,0,0,价格
很划算的,正面,1,0,0,价格
很到位,正面,1,0,0,包装
很去油,正面,1,0,0,使用体验
很可以,正面,1,0,0,整体
很可爱,正面,2,0,0,整体
很合理,正面,1,0,0,价格
很合适,正面,7,0,0,价格
很喜欢,正面,115,0,0,整体
很喜欢用,正面,1,0,0,整体
很均匀,正面,2,0,0,使用体验
很垃圾,负面,0,0,1,整体
很多,正面,31,0,0,成分
很多泡泡,正面,1,0,0,使用体验
很大,正面,2,0,0,价格
很大气,正面,2,0,0,包装
很好,正面,328,1,0,整体
很好吸收,正面,4,0,0,使用体验
很好推开,正面,7,0,0,使用体验
很好涂开,正面,1,0,0,使用体验
很好涂抹,正面,2,0,0,使用体验
很好用,正面,206,0,0,整体
很好的,正面,3,0,0,整体
很好看,正面,4,0,0,包装
很好闻,正面,23,0,0,气味
很安全,正面,2,0,0,成分
很实在,正面,2,0,0,价格
很实惠,正面,31,0,0,价格
很实用,正面,1,0,0,整体
很容易,正面,1,0,0,功效
很容易掉粉,负面,0,0,1,使用体验
很小,负面,0,0,2,尺寸
很少,负面,0,0,4,使用体验
很帮,正面,1,0,0,其他
很常满意,正面,1,0,0,整体
很干,负面,0,0,5,使用体验
很干净,正面,17,0,0,功效
很平整,正面,1,0,0,使用体验
很开心,正面,1,0,0,整体
很强,正面,2,0,0,功效
很彻底,正面,1,0,0,功效
很很用的,正面,1,0,0,整体
很心塞,负面,0,0,1,价格
很忧伤,负面,0,0,1,整体
很快,正面,133,0,0,物流
很快的,正面,1,0,0,物流
很惊喜,正面,1,0,0,价格
很持久,正面,1,0,0,功效
很持妆,正面,1,0,0,功效
很接近肤色,正面,1,0,0,功效
很控油,正面,1,0,0,功效
很提亮肤色,正面,2,0,0,功效
很提肤色,正面,1,0,0,功效
很放心,正面,1,0,0,整体
很敬业,正面,1,0,0,物流
很方便,正面,11,0,0,整体
很方便的,正面,1,0,0,其他
很旧,负面,0,0,2,包装
很明显,正面,2,0,1,功效
很是划算,正面,1,0,0,价格
很是给力,正面,1,0,0,物流
很显白,正面,3,0,0,功效
很有新意,正面,1,0,0,使用体验
很有用,正面,1,0,0,整体
很有耐心,正面,1,0,0,服务
很服帖,正面,25,0,0,使用体验
很服贴,正面,1,0,0,使用体验
很柔暖,正面,1,0,0,使用体验
很柔滑,正面,1,0,0,使用体验
很棒,正面,10,0,0,整体
很棒了,正面,1,0,0,整体
很正,正面,1,0,0,功效
很气人,负面,0,0,1,物流
很水,正面,2,0,0,使用体验
很水嫩,正面,1,0,0,使用体验
很水润,正面,19,0,0,使用体验
很润,正面,7,0,0,使用体验
很清新,正面,1,0,0,气味
很清爽,正面,23,0,0,使用体验
很清爽保湿,正面,1,0,0,使用体验
很清爽舒服,正面,1,0,0,使用体验
很温和,正面,16,0,0,使用体验
很湿润,正面,1,0,0,使用体验
很滋养,正面,1,0,0,使用体验
很滋润,正面,19,0,0,使用体验
很滑,正面,2,0,1,使用体验
很滑嫩,正面,1,0,0,使用体验
很满意,正面,43,0,0,整体
很满足,正面,1,0,0,整体
很漂亮,正面,8,0,0,包装
很烂,负面,0,0,1,整体
很热情,正面,2,0,0,物流
很熟悉,正面,1,0,0,气味
很熟服,正面,1,0,0,使用体验
很爽,正面,1,0,0,使用体验
很白,正面,4,0,0,功效
很硬,负面,0,0,1,使用体验
很礼貌,正面,1,0,0,物流
很稀,负面,0,0,1,其他
很简陋,正面,1,0,0,包装
很粘,负面,0,0,1,使用体验
很精美,正面,2,0,0,包装
很紧密,正面,1,0,0,包装
很细,正面,3,0,0,使用体验
很细心,正面,3,0,0,包装
很细腻,正面,10,0,0,使用体验
很给力,正面,23,0,0,物流
很美丽,正面,1,0,0,价格
很耐心,正面,1,0,0,服务
很自然,正面,26,0,0,功效
很舒服,正面,41,2,0,使用体验
很舒适,正面,1,0,0,使用体验
很薄,正面,6,0,1,使用体验
很补水,正面,11,0,0,功效
很衬肤色,正面,1,0,0,功效
很讨厌,负面,0,0,1,整体
很负责,正面,1,0,0,物流
很贴,正面,2,0,0,使用体验
很贴合肤色,正面,1,0,0,使用体验
很贴心,正面,1,0,0,包装
很贴皮肤,正面,2,0,0,使用体验
很贴肤,正面,1,0,0,使用体验
很贴脸,正面,1,0,0,使用体验
很赞,正面,4,0,0,整体
很超值,正面,2,0,0,价格
很轻薄,正面,3,0,0,使用体验
很轻薄透亮,正面,1,0,0,使用体验
很迷你,正面,1,0,0,包装
很适合,正面,10,0,0,整体
很透,正面,1,0,0,使用体验
很速度,正面,1,0,0,物流
很香,正面,10,0,0,气味
很高,正面,9,0,0,价格
很高兴,正面,1,0,0,整体
很高大上,正面,1,0,0,整体
很高大尚,正面,1,0,0,包装
微微一点白,正面,1,0,0,功效
忒简单,负面,0,0,1,包装
快,正面,98,0,0,物流
快捷,正面,2,0,0,其他
快要过期,负面,0,0,1,新鲜度
快速,正面,2,0,0,物流
怪怪的,负面,0,0,2,气味
总体满意,正面,1,0,0,整体
感觉不错,正面,1,0,0,整体
感觉不高,负面,0,0,1,整体
慢死,负面,0,0,1,物流
投诉,负面,0,0,1,物流
抹不开,负面,0,0,1,使用体验
持久,正面,1,0,0,使用体验
挺ok的,正面,1,0,0,使用体验
挺上色,正面,1,0,0,功效
挺不错,正面,11,0,0,整体
挺不错的,正面,20,0,0,整体
挺亮白的,正面,1,0,0,功效
挺优惠的,正面,3,0,0,价格
挺便宜,正面,3,0,0,价格
挺便宜的,正面,2,0,0,价格
挺保湿,正面,3,0,0,功效
挺保湿的,正面,3,0,0,功效
挺划算,正面,1,0,0,价格
挺划算的,正面,5,0,0,价格
挺可以,正面,1,0,0,功效
挺合适,正面,2,0,0,包装
挺合适的,正面,1,0,0,整体
挺喜欢,正面,4,0,0,整体
挺喜欢用的,正面,1,0,0,整体
挺喜欢的,正面,4,0,0,整体
挺多多的,正面,1,0,0,成分
挺多的,正面,6,0,0,成分
挺好,正面,52,0,0,整体
挺好上妆,正面,1,0,0,功效
挺好了,正面,1,0,0,整体
挺好吸收,正面,2,0,0,使用体验
挺好用,正面,27,0,0,整体
挺好用的,正面,85,0,0,整体
挺好的,正面,134,1,0,整体
挺好看的,正面,1,0,0,包装
挺好闻的,正面,4,0,0,气味
挺实惠,正面,7,0,0,价格
挺实惠的,正面,6,0,0,价格
挺小只,正面,1,0,0,尺寸
挺小的,负面,0,0,1,尺寸
挺干净,正面,5,0,0,功效
挺干净的,正面,3,0,0,功效
挺干燥的,负面,0,0,1,使用体验
挺干的,负面,0,0,1,使用体验
挺快,正面,7,0,0,物流
挺快的,正面,10,0,0,物流
挺显白的,正面,1,0,0,使用体验
挺服帖,正面,2,0,0,使用体验
挺服帖的,正面,2,0,0,使用体验
挺水润,正面,1,0,0,使用体验
挺水润的,正面,5,0,0,使用体验
挺油腻,负面,0,0,1,使用体验
挺流的,正面,1,0,0,整体
挺润的,正面,2,0,0,使用体验
挺淡,正面,1,0,0,气味
挺清淡的,正面,1,0,0,气味
挺清爽的,正面,2,0,0,使用体验
挺温和,正面,2,0,0,使用体验
挺温和的,正面,6,0,0,使用体验
挺湿润,正面,1,0,0,使用体验
挺湿润的,正面,1,0,0,使用体验
挺滋润,正面,3,0,0,使用体验
挺滋润的,正面,4,0,0,使用体验
挺滋润补水的,正面,1,0,0,使用体验
挺满意,正面,1,0,0,整体
挺满意的,正面,3,0,0,整体
挺漂亮的,正面,1,0,0,整体
挺环保,正面,1,0,0,其他
挺精致,正面,1,0,0,包装
挺细腻,正面,1,0,0,使用体验
挺细腻的,正面,2,0,0,使用体验
挺给力,正面,1,0,0,物流
挺自然,正面,2,0,0,使用体验
挺自然的,正面,2,0,0,功效
挺舒服,正面,3,0,0,整体
挺舒服的,正面,3,0,0,使用体验
挺薄,正面,1,0,0,使用体验
挺薄的,正面,2,0,0,使用体验
挺补水,正面,2,0,0,功效
挺补水的,正面,6,0,0,功效
挺超值的,正面,1,0,0,价格
挺足的,正面,1,0,0,成分
挺轻薄的,正面,1,0,0,使用体验
挺迅速的,正面,1,0,0,物流
挺适合,正面,3,0,0,整体
挺通透的,正面,1,0,0,使用体验
挺遮瑕,正面,1,0,0,功效
挺香的,正面,1,0,0,气味
挺麻烦的,负面,0,0,1,服务
掉皮,负面,0,0,1,使用体验
掉粉,负面,0,0,1,使用体验
接近肤色,正面,1,0,0,功效
提亮,正面,2,0,0,功效
提亮偏黄的肤色,正面,1,0,0,功效
提亮肤色,正面,10,0,0,功效
提好用,正面,1,0,0,整体
提好的,正面,1,0,0,整体
搓泥,负面,0,0,1,使用体验
搓泥了,负面,0,0,1,使用体验
支持,正面,1,0,0,整体
收缩毛孔,正面,2,0,0,功效
改善肤色,正面,1,0,0,功效
放心,正面,1,0,0,整体
效果不是很明显,负面,0,0,1,整体
效果好,正面,1,0,0,整体
效果明显,正面,1,0,0,整体
效率超级高,正面,1,0,0,物流
敷衍了事,负面,0,0,2,服务
新,正面,1,0,0,包装
新款,正面,2,0,0,包装
新鲜,正面,1,0,0,新鲜度
方便,正面,12,0,0,使用体验
无异常,正面,1,0,0,整体
无异常不适,正面,1,0,0,使用体验
无比的高大上,正面,1,0,0,整体
无紧绷感,正面,1,0,0,使用体验
无负担,正面,1,0,0,功效
明显,正面,1,0,0,功效
易吸收,正面,2,0,0,使用体验
易推开,正面,1,0,0,使用体验
易涂开,正面,1,0,0,使用体验
是不是正品,中性,0,1,0,真伪
是不是真品,中性,0,1,0,真伪
是假,负面,0,0,1,功效
是假货,负面,0,0,2,真伪
是次品,负面,0,0,1,其他
是正品,正面,79,1,0,真伪
是真,正面,1,0,0,功效
是真东西,正面,1,0,0,真伪
是真品,正面,3,0,0,真伪
显得皮肤很白,正面,1,0,0,功效
显白,正面,6,0,0,功效
显肤色,正面,1,0,0,功效
更优惠,正面,1,0,0,价格
更好,正面,1,0,0,整体
更滋润,正面,1,0,0,使用体验
更滑,正面,1,0,0,使用体验
最合适,正面,1,0,0,价格
最喜欢,正面,2,0,0,整体
