id,Reviews,clean_text,tokens
52,多次购买了，效果不错哦，价格便宜,多次购买了 效果不错哦 价格便宜,多次 购买 效果 不错哦 价格便宜
53,面膜精华液量非常足，保湿效果棒棒哒，非常适合干燥的春季使用,面膜精华液量非常足 保湿效果棒棒哒 非常适合干燥的春季使用,面膜 精华液量 非常足 保湿效果 棒棒哒 非常适合 干燥 春季 使用
54,很好用。还还送了1替换装。,很好用 还还送了1替换装,很好用 还 还 送 替换 装
55,买完就降价啦 不开心,买完就降价啦 不开心,买 完 降价 不开心
56,用了半个月了才来评价一个字好好好，值得拥有。??,用了半个月了才来评价一个字好好好 值得拥有,用 半个 月 来 评价 字 好好 好 值得 拥有
57,与描述一致，这款泡沫少但清洗很干净，气味优雅，一直在用，发货及时,与描述一致 这款泡沫少但清洗很干净 气味优雅 一直在用 发货及时,描述 一致 款 泡沫 少 清洗 很干净 气味 优雅 一直在用 发货 及时
58,之前用的是她家另一款，用着不错，还推荐了同事，这次买这一款试试，希望好用，物流非常快，到山西一天,之前用的是她家另一款 用着不错 还推荐了同事 这次买这一款试试 希望好用 物流非常快 到山西一天,之前 用 她家 另 一款 用 不错 还 推荐 同事 这次 买 一款 试试 希望 好用 物流 非常快 到 山西 一天
59,面膜挺好的，一直喜欢用***的，而且配送速度也很快，给五星好评！,面膜挺好的 一直喜欢用 某品牌 的 而且配送速度也很快 给五星好评,面膜 挺好的 一直 喜欢 用 某品牌 而且 配送速度 很快 五星好评
60,面膜包装很好，还多送的几片，,面膜包装很好 还多送的几片,面膜 包装 很好 还 多 送 几片
61,好用，一如既往的用这个牌子,好用 一如既往的用这个牌子,好用 一如既往 用 牌子
62,很不错，香香抹了点在手上，感觉不错的，,很不错 香香抹了点在手上 感觉不错的,很不错 香香 抹 点 手上 感觉不错
63,超喜欢，感觉无比的高大上，点32个赞！满足我的超级少女心,超喜欢 感觉无比的高大上 点32个赞 满足我的超级少女心,超喜欢 感觉 无比的高大上 点 个赞 满足 超级 少女 心
64,是正品，一直在它家买,是正品 一直在它家买,是正品 一直 家 买
65,挺不错的，送了很多东西，婆婆妈一直用这个。,挺不错的 送了很多东西 婆婆妈一直用这个,挺不错的 送 很多 东西 婆婆 妈 一直用
66,好用，卸妆效果非常好，用完会回购,好用 卸妆效果非常好 用完会回购,好用 卸妆效果 非常好 用 完会 回购
67,很好，一直以来都是用的这款面膜！,很好 一直以来都是用的这款面膜,很好 一直 以来 用 这款 面膜
68,一直选择****，现在感觉**的价格优势比不过~了，只剩下次日达还能安慰一下产品挺好用，老婆很满意,一直选择 某品牌 现在感觉 某品牌 的价格优势比不过 了 只剩下次日达还能安慰一下产品挺好用 老婆很满意,一直 选择 某品牌 现在 感觉 某品牌 价格优势 比 只 剩下 次日 达 还 能 安慰 产品 挺好用 老婆 很满意
69,非常不错噢,非常不错噢,非常不错 噢
70,面膜很好用，水分充足！,面膜很好用 水分充足,面膜 很好用 水分 充足
71,是正品，一直信赖**，可以放心购买,是正品 一直信赖 某品牌 可以放心购买,是正品 一直信赖 某品牌 可以 放心 购买
72,活动买的，看见评价都不错，瓶子很漂亮，但是瓶口没有密封口，有待改进。,活动买的 看见评价都不错 瓶子很漂亮 但是瓶口没有密封口 有待改进,活动 买 看见 评价 不错 瓶子 很漂亮 瓶口 没有密封口 有待 改进
73,面膜比较补水，蛮好的,面膜比较补水 蛮好的,面膜 比较补水 蛮好的
74,买一赠一，超值，看了一下，正好适合孩子的肤质使用，必须下手啊,买一赠一 超值 看了一下 正好适合孩子的肤质使用 必须下手啊,买 一赠 一 超值 看 正好 适合 孩子 肤质 使用 必须 下手
75,非常好用，已经是第二次回购了，之前一直在用，遮瑕效果也特别好，不会掉粉,非常好用 已经是第二次回购了 之前一直在用 遮瑕效果也特别好 不会掉粉,非常好用 第二次 回购 之前 一直在用 遮瑕效果 特别好 不会掉粉
76,洗完脸很滑，我感觉不太适合我，看个人肤质，建议慎重考虑,洗完脸很滑 我感觉不太适合我 看个人肤质 建议慎重考虑,洗完 脸 很滑 感觉 不太适合 看 个人 肤质 建议 慎重考虑
77,一直信赖**，发货和送货速度都很快，快递小哥也很好，以后还是**,一直信赖 某品牌 发货和送货速度都很快 快递小哥也很好 以后还是 某品牌,一直信赖 某品牌 发货 送货速度 很快 快递小哥 也很好 以后 还是 某品牌
78,用过***的还有一种，很好用，想试一试这一款,用过 某品牌 的还有一种 很好用 想试一试这一款,用过 某品牌 还有 一种 很好用 想 试一试 一款
79,发货迅速而且质量不错，已经是第二次购买了,发货迅速而且质量不错 已经是第二次购买了,发货 迅速 而且 质量 不错 第二次 购买
80,很好，很快，还会继续支持**。加油加油加油,很好 很快 还会继续支持 某品牌 加油加油加油,很好 很快 还会 继续 支持 某品牌 加油 加油 加油
81,真的很好用，很自然。不油腻，好推开。用了好多年了！,真的很好用 很自然 不油腻 好推开 用了好多年了,真的很好 用 很自然 不油腻 好推开 用 好多年
82,好极了 女朋友和。喜欢 下次还会再来的 没毛病 一如继往好评,好极了 女朋友和 喜欢 下次还会再来的 没毛病 一如继往好评,好极了 女朋友 喜欢 下次 还会 来 没毛病 一如 继往 好评
83,非常满意，非常喜欢，谢谢亲爱的卖家,非常满意 非常喜欢 谢谢亲爱的卖家,非常满意 非常喜欢 谢谢 亲爱 卖家
84,好用又便宜 超级满意,好用又便宜 超级满意,好用 便宜 超级满意
85,洗面奶真心不错，洗完脸以后滑滑的非常舒服，物流也是超快的,洗面奶真心不错 洗完脸以后滑滑的非常舒服 物流也是超快的,洗面奶 真心不错 洗完 脸 以后 滑滑的 非常舒服 物流 超快的
86,非常非常的地，好用划算,非常非常的地 好用划算,非常 非常 好用 划算
87,***的化妆品还是不错的，值得购买，性价比很高的活动就参加了！！！,某品牌 的化妆品还是不错的 值得购买 性价比很高的活动就参加了,某品牌 化妆品 还是不错的 值得 购买 性价比 很高 活动 参加
88,我用了没有过敏，挺好的,我用了没有过敏 挺好的,我用 没有过敏 挺好的
89,还没用，感觉挺好的。快递员很敬业。,还没用 感觉挺好的 快递员很敬业,还 没用 感觉 挺好的 快递员 很敬业
90,好用，喜欢这个牌子,好用 喜欢这个牌子,好用 喜欢 牌子
91,很多次购买了，喜欢！哈哈哈哈哈哈??,很多次购买了 喜欢 哈哈哈哈哈哈,很 多次 购买 喜欢 哈哈哈 哈哈哈
92,五星好评，快递和服务都好评,五星好评 快递和服务都好评,五星好评 快递 服务 好评
93,发货速度快，质量还可以，下次有需要下次还来。,发货速度快 质量还可以 下次有需要下次还来,发货速度 快 质量 还可以 下次 有 需要 下次 还来
94,好用，服务态度好,好用 服务态度好,好用 服务态度 好
95,面膜用还挺好的自己 补水效果很好?快递小哥态度也很好?,面膜用还挺好的自己 补水效果很好 快递小哥态度也很好,面膜 用 还挺好的 补水效果 很好 快递小哥态度 也很好
96,产品收到了，**快递公司果然给力，前一天晚上下单，第二天就到了，给快递小哥点赞。,产品收到了 某品牌 快递公司果然给力 前一天晚上下单 第二天就到了 给快递小哥点赞,产品 收到 某品牌 快递公司 果然 给力 前一天 晚上 下单 第二天 到 快递小哥 点赞
97,一直以来都在用这个产品，补水效果非常不错！会继续支持！,一直以来都在用这个产品 补水效果非常不错 会继续支持,一直 以来 用 产品 补水效果 非常不错 会 继续 支持
98,快递点个赞，超级快，质量也是杠杠滴，已经买了两三次了，用起来感觉很不错，棒棒哒,快递点个赞 超级快 质量也是杠杠滴 已经买了两三次了 用起来感觉很不错 棒棒哒,快递 点个赞 超级快 质量 杠杠滴 买 两三次 用 起来 感觉 很不错 棒棒哒
99,**快递速度快，性价比不错，好。。。。。,某品牌 快递速度快 性价比不错 好,某品牌 快递速度 快 性价比 不错 好
100,很划算，但是现在价格没有原来美好了，呜呜呜，抢到了19ml的，开心，这个效果一直棒棒，也实惠,很划算 但是现在价格没有原来美好了 呜呜呜 抢到了19ml的 开心 这个效果一直棒棒 也实惠,很划算 现在 价格 没有原来美好 呜呜 呜 抢到 19ml 开心 效果 一直棒棒 实惠
101,很不错的面膜，***，很不错，很滋润，用了很水润，价格很实惠**很给力，到货速度很快，很满意，赞一个,很不错的面膜 某品牌 很不错 很滋润 用了很水润 价格很实惠 某品牌 很给力 到货速度很快 很满意 赞一个,很不错的 面膜 某品牌 很不错 很滋润 用 很水润 价格 很实惠 某品牌 很给力 到货速度 很快 很满意 赞一个
102,刚上脸有点假白 半小时后就自然了,刚上脸有点假白 半小时后就自然了,刚 上脸 有点假白 半小时 后 自然
103,一直用这个牌子，国产的骄傲，超级好用，堪比大牌，专柜一直有送小样儿，但个人感觉还是**便宜～～,一直用这个牌子 国产的骄傲 超级好用 堪比大牌 专柜一直有送小样儿 但个人感觉还是 某品牌 便宜,一直用 牌子 国产 骄傲 超级好用 堪比 大牌 专柜 一直 有 送 小样儿 个人感觉 还是 某品牌 便宜
104,为**来买，还挺好用的。,为 某品牌 来买 还挺好用的,为 某品牌 来 买 还挺好用的
105,活动很划算，清洁很彻底，泡沫丰富，是会有好用的东西,活动很划算 清洁很彻底 泡沫丰富 是会有好用的东西,活动 很划算 清洁 很彻底 泡沫 丰富 会 有 好用的 东西
106,好评，支持***，支持**的快递小哥，给快递小哥万个赞,好评 支持 某品牌 支持 某品牌 的快递小哥 给快递小哥万个赞,好评 支持 某品牌 支持 某品牌 快递小哥 快递小哥 万个 赞
107,在***买了好多单，划算！！！一直用***，趁双11多屯点东西！慢慢用！,在 某品牌 买了好多单 划算 一直用 某品牌 趁双11多屯点东西 慢慢用,某品牌 买 好多 单 划算 一直用 某品牌 趁 双11 多 屯点 东西 慢慢 用
108,昨天刚收到，看着不错，满意,昨天刚收到 看着不错 满意,昨天 刚 收到 看着 不错 满意
109,感觉还不错啊，和我的皮肤颜色相近，喜欢！,感觉还不错啊 和我的皮肤颜色相近 喜欢,感觉 还不错 皮肤 颜色相近 喜欢
110,一直在用***的面膜买了好多好多趟，用了几年快递特别快。爱你。,一直在用 某品牌 的面膜买了好多好多趟 用了几年快递特别快 爱你,一直在用 某品牌 面膜 买 好多好多 趟 用 几年 快递 特别快 爱
111,还不错，稍有些粘腻,还不错 稍有些粘腻,还不错 稍 有些粘腻
112,还可以，味道有种似曾相识,还可以 味道有种似曾相识,还可以 味道 有种 似曾相识
113,值得购买，物美价廉,值得购买 物美价廉,值得 购买 物美价廉
114,气味很好闻。还有替换装。喜欢粉粉的盒子。这个牌子护肤品不错,气味很好闻 还有替换装 喜欢粉粉的盒子 这个牌子护肤品不错,气味 很好闻 还有 替换 装 喜欢 粉粉的 盒子 牌子 护肤品 不错
115,我以前在专柜买过，和这个一样好用，不过这次的更优惠一些，用完下次还要买！！,我以前在专柜买过 和这个一样好用 不过这次的更优惠一些 用完下次还要买,以前 专柜 买过 一样 好用 这次 更优惠 一些 用 完 下次 还要 买
116,已收到货，多次购买了。我个人认为还OK。用完还会再来的,已收到货 多次购买了 我个人认为还OK 用完还会再来的,收到 货 多次 购买 个人 认为 还OK 用 完 还 会 来
117,一直用的这个面膜，挺好用的，一次做活动买一送一，一次性就买了四盒，应该可以够续命两个月?,一直用的这个面膜 挺好用的 一次做活动买一送一 一次性就买了四盒 应该可以够续命两个月,一直用 面膜 挺好用的 一次 做 活动 买一送一 一次性 买 四盒 应该可以 够 续命 两个 月
118,送货速度很快很快，早上十点下单，下午六点就收到货了。还送的有两片面膜，隔离试了一下很好,送货速度很快很快 早上十点下单 下午六点就收到货了 还送的有两片面膜 隔离试了一下很好,送货速度 很快 很快 早上 十点 下单 下午 六点 收到 货 还 送 有 两片 面膜 隔离 试 很好
119,喜欢。很划算,喜欢 很划算,喜欢 很划算
120,用过一瓶了，又买的，隔离保湿效果好，不干,用过一瓶了 又买的 隔离保湿效果好 不干,用过 一瓶 买 隔离 保湿效果 好 不干
121,高端霸气上档次，仔仔细细，超级喜欢，下次还回来购买！！！,高端霸气上档次 仔仔细细 超级喜欢 下次还回来购买,高端 霸气 上档次 仔仔细细 超级喜欢 下次 还 回来 购买
122,这款卸妆水挺不错的，一直用这款,这款卸妆水挺不错的 一直用这款,款 卸妆水 挺不错的 一直用 款
123,很喜欢这个洗面奶。清洁太给力了。洗的很干净,很喜欢这个洗面奶 清洁太给力了 洗的很干净,很喜欢 洗面奶 清洁 太给力了 洗 很干净
124,不好用，骗人的,不好用 骗人的,不好用 骗人的
125,东西不错，值得购买,东西不错 值得购买,东西 不错 值得 购买
126,用起可以，双十一买的很便宜,用起可以 双十一买的很便宜,用起 可以 双十一 买 很便宜
127,整体描述：是***的回头客了，这次买的也很好,整体描述 是 某品牌 的回头客了 这次买的也很好,整体 描述 某品牌 回头客 这次 买 也很好
128,挺水润的，还挺亮白的，不错不错,挺水润的 还挺亮白的 不错不错,挺水润的 还 挺亮白的 不错不错
129,还可以，有2个替换的,还可以 有2个替换的,还可以 有 替换
130,宝贝收到用了几天了，还可以啦，下次还会光顾,宝贝收到用了几天了 还可以啦 下次还会光顾,宝贝 收到 用 几天 还可以 下次 还会 光顾
131,快递太给力了，晚上下的单，早上就到了，还送了2瓶小的卸妆水，可以出行方便携带啦，用了好用再来评价吧。,快递太给力了 晚上下的单 早上就到了 还送了2瓶小的卸妆水 可以出行方便携带啦 用了好用再来评价吧,快递 太给力了 晚上 下 单 早上 到 还 送 瓶 小 卸妆水 可以 出行 方便 携带 用 好用 来 评价
132,第一次用这个牌子的护肤品，不知道怎么样，用用看效果怎么样吧，如果可以就继续回购，物流很快。,第一次用这个牌子的护肤品 不知道怎么样 用用看效果怎么样吧 如果可以就继续回购 物流很快,第一次 用 牌子 护肤品 不 知道 怎么样 用用 看 效果 怎么样 可以 继续 回购 物流 很快
133,挺好的，便宜实惠，正好遇上做活动流存了好多货，东东也不错，以后还会继续回购的。,挺好的 便宜实惠 正好遇上做活动流存了好多货 东东也不错 以后还会继续回购的,挺好的 便宜实惠 正好 遇上 做 活动 流存 好多 货 东东 不错 以后 还会 继续 回购
134,颜色很正，好评！,颜色很正 好评,颜色 很正 好评
135,很好便宜实惠支持**商城,很好便宜实惠支持 某品牌 商城,很好 便宜实惠 支持 某品牌 商城
136,很不错，一直用这个牌子，比较放心，希望越做越好！,很不错 一直用这个牌子 比较放心 希望越做越好,很不错 一直用 牌子 比较 放心 希望 越做越 好
137,昨天中午买的今天中午收到了，物流很快哦！第一次买，希望效果好用,昨天中午买的今天中午收到了 物流很快哦 第一次买 希望效果好用,昨天中午 买 今天 中午 收到 物流 很快 第一次 买 希望 效果好 用
138,洗面奶查了一下是正品，跟商家描述的差不多，最主要是便宜，买一送一很划算。以后买洗面奶就它了，给满分。,洗面奶查了一下是正品 跟商家描述的差不多 最主要是便宜 买一送一很划算 以后买洗面奶就它了 给满分,洗面奶 查 是正品 跟 商家 描述 差不多 最 主要 便宜 买一送一 很划算 以后 买 洗面奶 满分
139,紫色遮黄效果特别好，用完感觉气色都特别好,紫色遮黄效果特别好 用完感觉气色都特别好,紫色 遮黄效果 特别好 用 完 感觉 气色 特别好
140,很不错，擦得均匀服帖,很不错 擦得均匀服帖,很不错 擦 均匀 服帖
141,N次购买了，货真价实，好用,N次购买了 货真价实 好用,次 购买 货真价实 好用
142,?速度好快呀，昨天晚上下的单，今天下午就到了。,速度好快呀 昨天晚上下的单 今天下午就到了,速度 好快 昨天晚上 下 单 今天下午 到
143,**实测款，薄薄一层满满精华素，用了几天，保湿提亮效果不错,某品牌 实测款 薄薄一层满满精华素 用了几天 保湿提亮效果不错,某品牌 实测 款 薄薄 一层 满满 精华素 用 几天 保湿 提亮效果 不错
144,物流好快，已经收到了，试了一下还不错，很水润，喜欢的可以考虑,物流好快 已经收到了 试了一下还不错 很水润 喜欢的可以考虑,物流 好快 收到 试 还不错 很水润 喜欢的 可以 考虑
145,已经用的第三瓶了，以前一直用的绿色，这次换了紫色，不过还是一如既往的好用啊。美白还可以遮暇，大大的赞,已经用的第三瓶了 以前一直用的绿色 这次换了紫色 不过还是一如既往的好用啊 美白还可以遮暇 大大的赞,用 第三 瓶 以前 一直用 绿色 这次 换 紫色 还是 一如既往的好 用 美白 还可以 遮暇 大大的 赞
146,之前用的瓶装紫色的，不太适合我，这个很好用，喜欢，好评,之前用的瓶装紫色的 不太适合我 这个很好用 喜欢 好评,之前 用 瓶装 紫色 不太适合 很好用 喜欢 好评
147,给媳妇买的，媳妇说很好值得拥有。,给媳妇买的 媳妇说很好值得拥有,媳妇 买 媳妇 说 很好 值得 拥有
148,效果真的一般，连续用了三天，皮肤早上起来都是很干的，,效果真的一般 连续用了三天 皮肤早上起来都是很干的,效果 真的 一般 连续 用 三天 皮肤 早上 起来 很干
149,东西正经不错，好东西和大家分享，希望你买了也会喜欢?,东西正经不错 好东西和大家分享 希望你买了也会喜欢,东西 正经 不错 好 东西 分享 希望 买 会 喜欢
150,清爽而光滑，效果不错，色泽唯美，气味甜美，推荐有红血丝的可以用哦?,清爽而光滑 效果不错 色泽唯美 气味甜美 推荐有红血丝的可以用哦,清爽 光滑 效果 不错 色泽 唯美 气味 甜美 推荐 有 红血丝 可以 用
151,香香的的肌肤是***馈赠的,香香的的肌肤是 某品牌 馈赠的,香香的 肌肤 某品牌 馈赠
152,这款面膜很好用不油腻感觉也好,这款面膜很好用不油腻感觉也好,款 面膜 很好用 不油腻 感觉 也好
153,本人敏感肌一直用的都是***，用完不紧绷。,本人敏感肌一直用的都是 某品牌 用完不紧绷,本人 敏感肌 一直用 某品牌 用 完 不紧绷
154,这个面膜挺好用的,这个面膜挺好用的,面膜 挺好用的
155,还可以，妈妈说好,还可以 妈妈说好,还可以 妈妈 说好
156,货收到了，快递很给力，一直用这款！,货收到了 快递很给力 一直用这款,货 收到 快递 很给力 一直用 款
157,第一次买，还没有使用，期待效果，就是客服回复太慢了,第一次买 还没有使用 期待效果 就是客服回复太慢了,第一次 买 还 没有 使用 期待 效果 客服回复 太慢了
158,包装简陋，没有说明书。正品？？,包装简陋 没有说明书 正品,包装 简陋 没有 说明书 正品
159,味道清新，用着挺自然的,味道清新 用着挺自然的,味道 清新 用 挺自然的
160,挺喜欢的品质，一直都很好用,挺喜欢的品质 一直都很好用,挺喜欢的 品质 一直 很好用
161,面膜很好，很补水，用完了还会在买,面膜很好 很补水 用完了还会在买,面膜 很好 很补水 用 完 还 会 买
162,遮瑕效果：好多推荐这款的，买来试试，混干皮用下来有点干，加了精华再上脸好点，哑光质感，蛮好。,遮瑕效果 好多推荐这款的 买来试试 混干皮用下来有点干 加了精华再上脸好点 哑光质感 蛮好,遮瑕效果 好多 推荐 这款 买来 试试 混 干皮 用 下来 有点干 加 精华 上脸 好点 哑光质感 蛮好
163,面膜收到了，包装的很好，没有破损！**商城的就是好，快递人员服务态度也很好，满意！,面膜收到了 包装的很好 没有破损 某品牌 商城的就是好 快递人员服务态度也很好 满意,面膜 收到 包装 很好 没有破损 某品牌 商城 就是好 快递人员服务态度 也很好 满意
