id,AspectTerms,A_start,A_end,OpinionTerms,O_start,O_end,Categories,Polarities
39,,,,好用,0,2,整体,正面
39,性价比,3,6,很高,6,8,价格,正面
40,,,,很好,14,16,整体,正面
40,,,,不紧崩,10,13,使用体验,正面
40,,,,很温和,0,3,使用体验,正面
41,,,,不错,0,2,整体,正面
41,,,,很好,3,5,整体,正面
41,,,,物超所值,6,10,整体,正面
42,物流,14,16,很快,16,18,物流,正面
42,,,,还可以,21,24,整体,正面
43,速度,9,11,快,11,12,物流,正面
43,,,,好评,0,2,整体,正面
44,,,,小小,0,2,尺寸,负面
44,,,,不错,11,13,整体,正面
45,速度,4,6,很快,6,8,物流,正面
45,,,,不错,0,2,整体,正面
46,,,,很好,0,2,整体,正面
46,,,,还不错,17,20,整体,正面
46,,,,很喜欢,35,38,整体,正面
47,,,,差评,13,15,整体,负面
47,,,,太坑了,18,21,整体,负面
48,味道,10,12,还好,12,14,气味,正面
49,,,,还不错,2,5,整体,正面
49,,,,很好,17,19,整体,正面
50,,,,不错,2,4,整体,正面
50,活动,25,27,,,,价格,正面
50,,,,物美价廉,28,32,价格,正面
51,快递,0,2,挺快的,2,5,物流,正面
51,,,,没有过敏,14,18,使用体验,正面
52,价格,12,14,便宜,14,16,价格,正面
52,,,,不错,8,10,整体,正面
53,精华液量,2,6,非常足,6,9,成分,正面
53,保湿效果,10,14,棒棒哒,14,17,功效,正面
54,,,,很好用,0,3,整体,正面
55,降价,3,5,,,,价格,负面
55,,,,不开心,7,10,整体,负面
56,,,,好,13,14,整体,正面
57,泡沫,8,10,少,10,11,使用体验,负面
57,清洗,12,14,很干净,14,17,功效,正面
57,气味,18,20,优雅,20,22,气味,正面
57,发货,28,30,及时,30,32,物流,正面
58,物流,37,39,非常快,39,42,物流,正面
59,配送速度,18,22,很快,23,25,物流,正面
59,,,,挺好的,2,5,整体,正面
59,,,,五星好评,27,31,整体,正面
60,包装,2,4,很好,4,6,包装,正面
61,,,,好用,0,2,整体,正面
62,,,,很不错,0,3,整体,正面
62,,,,不错,15,17,整体,正面
63,,,,超喜欢,0,3,整体,正面
63,,,,无比的高大上,6,12,整体,正面
64,,,,是正品,0,3,真伪,正面
65,,,,挺不错的,0,4,整体,正面
66,卸妆效果,3,7,非常好,7,10,功效,正面
66,,,,好用,0,2,整体,正面
67,,,,很好,0,2,整体,正面
68,,,,很满意,46,49,整体,正面
68,,,,挺好用,40,43,整体,正面
69,,,,非常不错,0,4,整体,正面
70,水分,6,8,充足,8,10,成分,正面
70,,,,很好用,2,5,整体,正面
71,,,,是正品,0,3,真伪,正面
72,活动,0,2,,,,价格,正面
72,瓶子,13,15,很漂亮,15,18,包装,正面
72,瓶口,21,23,没有密封口,23,28,包装,负面
73,,,,蛮好的,7,10,整体,正面
73,,,,比较补水,2,6,功效,正面
74,,,,超值,5,7,价格,正面
75,,,,非常好用,0,4,整体,正面
75,遮瑕效果,22,26,特别好,27,30,功效,正面
75,,,,不会掉粉,31,35,使用体验,正面
76,,,,很滑,3,5,使用体验,负面
76,,,,不太适合,9,13,整体,负面
77,发货,7,9,很快,15,17,物流,正面
77,送货速度,10,14,很快,15,17,物流,正面
77,快递小哥,18,22,很好,23,25,物流,正面
78,,,,很好用,11,14,整体,正面
79,发货,0,2,迅速,2,4,物流,正面
79,,,,不错,8,10,整体,正面
80,,,,很好,0,2,整体,正面
80,,,,很快,3,5,物流,正面
81,,,,不油腻,10,13,使用体验,正面
81,,,,好推开,14,17,使用体验,正面
81,,,,很自然,6,9,功效,正面
81,,,,很好用,2,5,整体,正面
82,,,,好评,28,30,整体,正面
82,,,,好极了,0,3,整体,正面
82,,,,喜欢,9,11,整体,正面
82,,,,没毛病,20,23,整体,正面
83,,,,非常喜欢,5,9,整体,正面
83,,,,非常满意,0,4,整体,正面
84,,,,超级满意,6,10,整体,正面
84,,,,好用,0,2,整体,正面
84,,,,便宜,3,5,价格,正面
85,,,,真心不错,3,7,整体,正面
85,物流,21,23,超快的,25,28,物流,正面
85,,,,滑滑的,13,16,使用体验,正面
85,,,,非常舒服,16,20,使用体验,正面
86,,,,好用,7,9,整体,正面
86,,,,划算,9,11,价格,正面
87,性价比,18,21,很高,21,23,价格,正面
87,,,,不错的,9,12,整体,正面
88,,,,没有过敏,3,7,使用体验,正面
88,,,,挺好的,8,11,整体,正面
89,快递员,10,13,很敬业,13,16,物流,正面
89,,,,挺好的,6,9,整体,正面
90,,,,好用,0,2,整体,正面
91,,,,喜欢,7,9,整体,正面
92,,,,五星好评,0,4,整体,正面
92,快递,5,7,好评,11,13,包装,正面
92,服务,8,10,好评,11,13,服务,正面
93,发货,0,2,速度快,2,5,物流,正面
93,,,,还可以,8,11,整体,正面
94,服务态度,3,7,好,7,8,服务,正面
94,,,,好用,0,2,整体,正面
95,,,,还挺好的,3,7,整体,正面
95,补水效果,10,14,很好,14,16,功效,正面
95,快递小哥态度,17,23,很好,14,16,物流,正面
96,快递公司,8,12,给力,14,16,物流,正面
96,快递小哥,33,37,点赞,37,39,物流,正面
97,补水效果,12,16,非常不错,16,20,功效,正面
98,快递,0,2,点个赞,2,5,物流,正面
98,快递,0,2,超级快,6,9,物流,正面
98,质量,10,12,杠杠滴,14,17,其他,正面
98,,,,很不错,32,35,整体,正面
98,,,,棒棒哒,36,39,整体,正面
99,快递速度,2,6,快,6,7,物流,正面
99,性价比,8,11,不错,11,13,价格,正面
100,价格,8,10,没有原来美好,10,16,价格,中性
100,,,,很划算,0,3,价格,正面
100,,,,一直棒棒,38,42,整体,正面
100,,,,实惠,44,46,价格,正面
101,,,,很不错,0,3,整体,正面
101,,,,很滋润,15,18,使用体验,正面
101,,,,很水润,21,24,使用体验,正面
101,价格,25,27,很实惠,27,30,价格,正面
101,到货速度,36,40,很快,40,42,物流,正面
101,,,,很满意,43,46,整体,正面
102,,,,有点假白,3,7,功效,负面
103,,,,超级好用,14,18,整体,正面
103,,,,便宜,43,45,价格,正面
104,,,,挺好用的,7,11,整体,正面
105,活动,0,2,很划算,2,5,价格,正面
105,清洁,6,8,很彻底,8,11,功效,正面
105,泡沫,12,14,丰富,14,16,使用体验,正面
105,,,,好用,20,22,整体,正面
106,快递小哥,14,18,,,,物流,正面
107,,,,划算,10,12,价格,正面
108,,,,不错,8,10,整体,正面
108,,,,满意,11,13,整体,正面
109,,,,还不错,2,5,整体,正面
109,,,,喜欢,17,19,整体,正面
109,,,,颜色相近,12,16,功效,正面
110,快递,22,24,特别快,24,27,物流,正面
111,,,,不错,1,3,整体,正面
111,,,,有些粘腻,5,9,使用体验,负面
112,,,,还可以,0,3,整体,正面
113,,,,物美价廉,5,9,价格,正面
114,气味,0,2,很好闻,2,5,气味,正面
114,盒子,17,19,粉粉的,14,17,包装,正面
114,,,,不错,27,29,整体,正面
115,,,,好用,14,16,整体,正面
115,,,,更优惠,22,25,价格,正面
116,,,,还OK,16,19,整体,正面
117,,,,挺好用的,9,13,整体,正面
117,活动,17,19,,,,价格,正面
118,送货速度,0,4,很快,4,6,物流,正面
118,,,,很好,41,43,整体,正面
119,,,,喜欢,0,2,整体,正面
119,,,,很划算,3,6,价格,正面
120,隔离,10,12,好,16,17,功效,正面
120,保湿效果,12,16,好,16,17,功效,正面
120,,,,不干,18,20,使用体验,正面
121,,,,超级喜欢,13,17,整体,正面
122,,,,挺不错的,5,9,整体,正面
123,,,,很喜欢,0,3,整体,正面
123,清洁,9,11,太给力了,11,15,功效,正面
123,,,,很干净,18,21,使用体验,正面
124,,,,不好用,0,3,整体,负面
124,,,,骗人的,4,7,整体,负面
125,,,,不错,2,4,整体,正面
126,,,,可以,2,4,整体,正面
126,,,,很便宜,10,13,价格,正面
127,,,,很好,20,22,整体,正面
128,,,,不错,11,13,整体,正面
128,,,,挺亮白的,6,10,功效,正面
128,,,,挺水润的,0,4,使用体验,正面
129,,,,还可以,0,3,尺寸,正面
130,,,,还可以,10,13,整体,正面
131,快递,0,2,太给力了,2,6,物流,正面
132,物流,40,42,很快,42,44,物流,正面
133,活动,14,16,,,,价格,正面
133,,,,挺好的,0,3,整体,正面
133,,,,便宜,4,6,价格,正面
133,,,,实惠,6,8,价格,正面
134,颜色,0,2,很正,2,4,功效,正面
134,,,,好评,5,7,整体,正面
135,,,,很好,0,2,整体,正面
135,,,,实惠,4,6,价格,正面
135,,,,便宜,2,4,价格,正面
136,,,,很不错,0,3,整体,正面
137,物流,14,16,很快,16,18,物流,正面
138,,,,便宜,25,27,价格,正面
138,,,,很划算,32,35,价格,正面
138,,,,满分,47,49,整体,正面
139,遮黄效果,2,6,特别好,6,9,功效,正面
140,,,,均匀,6,8,使用体验,正面
140,,,,服帖,8,10,使用体验,正面
140,,,,很不错,0,3,整体,正面
141,,,,货真价实,6,10,整体,正面
141,,,,好用,11,13,整体,正面
142,速度,1,3,好快,3,5,物流,正面
143,精华素,12,15,满满,10,12,成分,正面
143,提亮,23,25,不错,27,29,功效,正面
143,保湿,21,23,不错,27,29,功效,正面
144,物流,0,2,好快,2,4,物流,正面
144,,,,还不错,15,18,整体,正面
144,,,,很水润,19,22,使用体验,正面
145,,,,好用,34,36,整体,正面
145,,,,遮暇,43,45,功效,正面
145,,,,美白,38,40,功效,正面
146,,,,好评,25,27,整体,正面
146,,,,喜欢,22,24,整体,正面
146,,,,很好用,18,21,整体,正面
147,,,,很好,9,11,整体,正面
148,,,,一般,4,6,整体,负面
148,,,,很干,22,24,使用体验,负面
149,,,,不错,4,6,整体,正面
150,,,,清爽,0,2,使用体验,正面
150,,,,不错,8,10,功效,正面
150,色泽,11,13,唯美,13,15,使用体验,正面
150,气味,16,18,甜美,18,20,气味,正面
150,气味,16,18,光滑,3,5,使用体验,正面
151,,,,香香的,0,3,气味,正面
152,,,,很好用,4,7,整体,正面
152,,,,不油腻,7,10,使用体验,正面
153,,,,不紧绷,17,20,使用体验,正面
154,,,,挺好用,4,7,整体,正面
155,,,,还可以,0,3,整体,正面
156,快递,5,7,很给力,7,10,物流,正面
157,客服回复,18,22,太慢,22,24,服务,负面
158,包装,0,2,简陋,2,4,包装,负面
158,说明书,7,10,没有,5,7,包装,负面
158,,,,正品,11,13,真伪,负面
159,味道,0,2,清新,2,4,气味,正面
159,,,,挺自然的,7,11,功效,正面
160,,,,挺喜欢的,0,4,整体,正面
160,,,,很好用,10,13,整体,正面
161,,,,很补水,5,8,功效,正面
161,,,,很好,2,4,整体,正面
162,,,,有点干,24,27,使用体验,负面
162,,,,哑光质感,38,42,使用体验,正面
162,,,,蛮好,43,45,整体,正面
163,包装,6,8,很好,9,11,包装,正面
163,包装,6,8,没有破损,12,16,包装,正面
163,快递人员服务态度,26,34,很好,9,11,物流,正面
163,,,,满意,38,40,整体,正面
164,遮瑕,5,7,不适合,7,10,功效,负面
164,隔离效果,13,17,挺好的,18,21,功效,正面
164,保湿度,22,25,一般般,26,29,功效,中性
164,,,,很好吸收,0,4,使用体验,正面
165,,,,很好用,2,5,整体,正面
166,,,,太赞了,10,13,整体,正面
167,,,,不错,0,2,整体,正面
168,送货,2,4,超级快,4,7,物流,正面
168,,,,是正品,12,15,真伪,正面
169,,,,喜欢,0,2,整体,正面
169,,,,很润,10,12,使用体验,正面
169,,,,很好吸收,14,18,使用体验,正面
170,包装,0,2,很好,2,4,包装,正面
171,,,,不错,2,4,整体,正面
172,,,,很棒,0,2,整体,正面
173,,,,好,2,3,整体,正面
173,,,,不干燥,7,10,使用体验,正面
173,,,,五星好评,13,17,整体,正面
174,,,,有点痒,10,13,使用体验,负面
174,,,,卸不干净,2,6,功效,负面
175,防晒效果,0,4,,,,功效,中性
176,,,,蛮好用,17,20,整体,正面
177,,,,比较清爽,8,12,使用体验,正面
177,,,,喜欢,13,15,整体,正面
178,颜色,0,2,好看,2,4,其他,正面
178,服务态度,5,9,很好,9,11,服务,正面
178,物流,12,14,快速,14,16,物流,正面
179,,,,很棒,22,24,整体,正面
180,,,,不错,3,5,整体,正面
181,,,,很好用,7,10,整体,正面
181,隔离效果,11,15,不错,15,17,功效,正面
182,活动,12,14,,,,价格,正面
182,,,,蛮不错的,0,4,整体,正面
183,,,,很不错,0,3,整体,正面
183,,,,清澈,4,6,使用体验,正面
184,,,,很自然,20,23,功效,正面
184,,,,很贴,27,29,使用体验,正面
184,,,,有光泽,34,37,功效,正面
184,,,,很好,38,40,整体,正面
185,新包装样式,0,5,很喜欢,6,9,包装,正面
186,物流,7,9,很给力,10,13,物流,正面
186,,,,很划算,3,6,价格,正面
187,保湿,12,14,真的好,14,17,功效,正面
187,,,,非常不错,0,4,整体,正面
188,服务态度,2,6,很好,6,8,服务,正面
188,物流,16,18,很快,19,21,物流,正面
188,,,,很不错,11,14,整体,正面
189,,,,喜欢喜欢,0,4,整体,正面
189,,,,特别补水,5,9,功效,正面
189,,,,真的很耐斯,10,15,整体,正面
190,,,,不错,6,8,整体,正面
190,物流,14,16,超级给力,16,20,物流,正面
191,,,,不错,2,4,整体,正面
192,新包装,6,9,特别喜欢,0,4,包装,正面
192,,,,很方便,11,14,其他,正面
192,,,,不紧绷,34,37,使用体验,正面
192,,,,很保湿,38,41,功效,正面
193,,,,不油腻,0,3,整体,正面
193,卸妆,4,6,很干净,7,10,功效,正面
193,,,,很划算,19,22,价格,正面
194,,,,好用,5,7,整体,正面
195,,,,很好用,2,5,整体,正面
195,,,,很补水,14,17,功效,正面
195,效果,18,20,不错,20,22,功效,正面
196,,,,不错,0,2,整体,正面
197,,,,好评,8,10,整体,正面
197,,,,还可以,4,7,整体,正面
198,,,,好用,0,2,整体,正面
198,,,,实惠,2,4,价格,正面
199,,,,过敏了,7,10,使用体验,正面
200,,,,好评,21,23,整体,正面
200,,,,很好,5,7,整体,正面
200,,,,白皙,8,10,功效,正面
200,,,,水嫩,10,12,使用体验,正面
200,,,,没有干粉,16,20,使用体验,正面
201,,,,一点也不紧绷,16,22,使用体验,正面
201,,,,超值,23,25,价格,正面
202,,,,很好用,25,28,整体,正面
202,,,,清爽,29,31,使用体验,正面
202,,,,不刺激,31,34,使用体验,正面
203,,,,非常好用,0,4,整体,正面
203,,,,特别补水,7,11,功效,正面
203,,,,很不错,17,20,整体,正面
204,包装,0,2,很高大尚,2,6,包装,正面
205,卸妆效果,9,13,很好,13,15,功效,正面
205,,,,很干净,16,19,功效,正面
205,,,,不刺激,22,25,使用体验,正面
205,,,,挺舒服的,28,32,使用体验,正面
205,,,,滑滑的,37,40,使用体验,正面
205,,,,很划算,41,44,价格,正面
206,,,,好用,14,16,整体,正面
207,,,,很好用,0,3,整体,正面
207,,,,喜欢,4,6,整体,正面
208,成分,9,11,很安全,11,14,成分,正面
208,,,,不错,24,26,整体,正面
209,保温效果,8,12,挺好的,12,15,功效,正面
209,,,,没有出现过敏,23,29,使用体验,正面
210,,,,不差,22,24,整体,正面
211,,,,不错,13,15,整体,正面
212,活动,9,11,很划算,12,15,价格,正面
212,,,,很好用,20,23,整体,正面
213,味道,5,7,不错,7,9,气味,正面
213,,,,物美价廉,0,4,价格,正面
214,物流,0,2,快,2,3,物流,正面
214,精华液,10,13,很多,13,15,成分,正面
214,,,,嫩嫩的,19,22,使用体验,正面
214,,,,不错,23,25,整体,正面
215,,,,有点白,2,5,使用体验,中性
216,香味,6,8,淡淡的,3,6,气味,正面
216,,,,超好用,0,3,整体,正面
217,包装,13,15,太简陋,15,18,包装,负面
218,,,,不喜欢,0,3,整体,负面
219,,,,油,0,1,使用体验,负面
220,,,,太假了,6,9,真伪,负面
220,,,,是假货,31,34,真伪,负面
221,,,,量大,0,2,其他,正面
221,,,,便宜,2,4,价格,正面
222,,,,感觉不错,6,10,整体,正面
222,,,,很水嫩,12,15,使用体验,正面
223,,,,不错,0,2,整体,正面
223,,,,很好,5,7,整体,正面
223,速度,8,10,很快,10,12,物流,正面
224,,,,好用,0,2,整体,正面
224,赠品,10,12,,,,价格,正面
224,,,,不错,13,15,整体,正面
225,,,,挺好的,7,10,整体,正面
225,,,,水水嫩嫩的,13,18,使用体验,正面
226,,,,好快,0,2,物流,正面
227,,,,很实惠,0,3,价格,正面
227,精华液,4,7,特别多,7,10,成分,正面
227,,,,一般,17,19,整体,正面
227,,,,不是很好吸收,22,28,使用体验,正面
228,,,,很小,7,9,尺寸,负面
228,赠品,30,32,没有,33,35,价格,负面
229,物流,0,2,快,3,4,物流,正面
229,,,,实惠,5,7,价格,正面
230,包装,19,21,挺不错的,23,27,包装,正面
231,活动,1,3,,,,价格,正面
232,,,,好评,0,2,整体,正面
233,,,,还可以,0,3,整体,正面
233,,,,挺补水的,7,11,功效,正面
234,价格,21,23,便宜,29,31,价格,正面
235,保质期,23,26,近期,12,14,新鲜度,负面
235,客服态度,30,34,敷衍了事,34,38,服务,负面
236,,,,满意,18,20,整体,正面
237,,,,不油腻,14,17,使用体验,正面
238,,,,好用,4,6,整体,正面
238,,,,不贵,6,8,价格,正面
238,,,,挺补水的,24,28,功效,正面
239,,,,很温和,7,10,使用体验,正面
239,礼盒包装,30,34,没有,28,30,包装,负面
240,,,,非常好,0,3,整体,正面
240,,,,很满意,8,11,整体,正面
240,,,,好评,16,18,整体,正面
241,保湿效果,7,11,不错,11,13,功效,正面
242,,,,挺好,0,2,整体,正面
243,,,,不错,0,2,整体,正面
244,价格,0,2,很优惠,2,5,价格,正面
244,,,,特别好,8,11,整体,正面
245,,,,好用,0,2,整体,正面
245,,,,滋润,3,5,使用体验,正面
245,,,,喜欢,6,8,整体,正面
246,,,,很好用,26,29,整体,正面
247,,,,很喜欢,21,24,整体,正面
247,,,,比较适合,16,20,整体,正面
248,价格,5,7,合算,7,9,价格,正面
248,送货速度,10,14,很快,14,16,物流,正面
249,,,,挺好的,2,5,整体,正面
249,,,,很喜欢,8,11,整体,正面
250,,,,不错,4,6,整体,正面
251,,,,不刺激,17,20,使用体验,正面
251,,,,很好,14,16,整体,正面
251,,,,很实惠,28,31,价格,正面
251,,,,满意,32,34,整体,正面
252,物流,25,27,给力,28,30,物流,正面
252,,,,给力,28,30,整体,正面
253,水分,0,2,不是很足,2,6,成分,负面
254,,,,还可以,0,3,整体,正面
254,,,,不错,12,14,整体,正面
255,,,,很好闻,3,6,气味,正面
256,服务态度,16,20,很好,20,22,服务,正面
256,,,,不错,2,4,整体,正面
257,,,,好用,0,2,整体,正面
257,,,,温和的,3,6,使用体验,正面
257,,,,喜欢,14,16,整体,正面
257,,,,不紧绷,10,13,使用体验,正面
258,包装,6,8,好差,8,10,包装,负面
259,,,,挺好,7,9,整体,正面
259,,,,很光滑,17,20,使用体验,正面
259,补水效果,21,25,很不错,25,28,功效,正面
260,包装,5,7,坏了,7,9,包装,负面
261,,,,很自然,9,12,功效,正面
261,,,,挺好用,0,3,整体,正面
261,,,,很滋润,4,7,使用体验,正面
262,,,,不好用,0,3,整体,负面
262,,,,不显白,8,11,功效,负面
263,速度,0,2,快,7,8,物流,正面
263,,,,方便,13,15,使用体验,正面
264,,,,很好用,0,3,整体,正面
264,,,,还不错,20,23,整体,正面
264,,,,挺适合,24,27,整体,正面
265,,,,是真东西,0,4,真伪,正面
266,气味,12,14,淡淡的,14,17,气味,正面
266,,,,很滋润,18,21,使用体验,正面
267,粉扑设计,0,4,非常棒,5,8,包装,正面
267,盒子颜值,9,13,很高,13,15,包装,正面
268,快递,15,17,真的快,17,20,物流,正面
268,物流速度,6,10,,,,物流,正面
269,,,,香香的,0,3,气味,正面
269,,,,很润,4,6,使用体验,正面
269,,,,挺好,7,9,整体,正面
270,,,,不是很好用,0,5,整体,负面
270,,,,不是很干净,8,13,功效,负面
271,,,,肤色好好,10,14,使用体验,正面
271,,,,快,17,18,物流,正面
271,服务,19,21,好,21,22,服务,正面
271,,,,好用,6,8,整体,正面
272,价格,10,12,便宜,13,15,价格,正面
272,,,,正品,34,36,真伪,正面
273,,,,还可以,0,3,整体,正面
274,,,,很好,15,17,整体,正面
275,,,,提好的,0,3,整体,正面
276,,,,挺好,0,2,整体,正面
276,泡沫,3,5,丰富,5,7,使用体验,正面
276,,,,很干净,10,13,使用体验,正面
277,洁面,10,12,挺好的,12,15,功效,正面
278,,,,还不错,0,3,整体,正面
279,,,,很多泡泡,0,4,使用体验,正面
279,,,,好用,5,7,整体,正面
280,,,,很好,6,8,整体,正面
281,,,,真的很不错,14,19,整体,正面
281,,,,很好用,22,25,整体,正面
281,,,,很适合,29,32,整体,正面
282,,,,非常好用,6,10,整体,正面
282,遮瑕效果,11,15,很好,15,17,功效,正面
283,,,,很好用,12,15,整体,正面
284,,,,很好用,0,3,整体,正面
284,,,,温和不刺激,4,9,使用体验,正面
284,清洁力,10,13,不错,14,16,功效,正面
284,,,,好评,17,19,整体,正面
285,,,,很好用,7,10,整体,正面
285,卸妆效果,11,15,很好,15,17,功效,正面
285,,,,不紧绷,21,24,使用体验,正面
286,,,,挺好闻的,0,4,气味,正面
286,,,,不假白,5,8,功效,正面
286,,,,亮肤,8,10,功效,正面
286,,,,滋润,10,12,使用体验,正面
287,,,,很好用,0,3,整体,正面
287,,,,很喜欢,3,6,整体,正面
287,,,,挺好的,9,12,整体,正面
287,,,,很贴皮肤,13,17,使用体验,正面
288,价格,0,2,便宜,2,4,价格,正面
288,活动,4,6,给力,6,8,价格,正面
288,,,,不错,17,19,整体,正面
289,,,,好用,0,2,整体,正面
289,,,,不浮粉,3,6,使用体验,正面
289,,,,不错,14,16,整体,正面
290,,,,挺补水的,3,7,功效,正面
290,,,,很薄,0,2,使用体验,正面
290,,,,贵了,11,13,价格,负面
291,,,,服帖,3,5,使用体验,正面
291,,,,自然,0,2,使用体验,正面
292,味道,14,16,很好闻,16,19,气味,正面
293,,,,蛮好用的,2,6,整体,正面
293,,,,轻薄,7,9,使用体验,正面
293,,,,不油腻,10,13,使用体验,正面
293,,,,蛮自然的,18,22,功效,正面
294,,,,不错哦,0,3,整体,正面
294,,,,特别便宜,4,8,价格,正面
294,,,,很湿润,24,27,使用体验,正面
295,赠的东西,0,4,挺多的,4,7,价格,正面
296,,,,还可以,0,3,整体,正面
296,遮瑕效果,4,8,挺好,8,10,功效,正面
296,,,,不保湿,13,16,功效,正面
296,,,,好干,21,23,使用体验,正面
297,,,,没以前好用,7,12,整体,负面
298,,,,良好,11,13,整体,正面
298,,,,无异常,16,19,整体,正面
298,,,,喜欢,20,22,整体,正面
299,,,,好用,7,9,整体,正面
300,包装,1,3,太随便了,6,10,包装,负面
300,,,,不值,36,38,整体,负面
301,,,,物美价廉,5,9,价格,正面
301,,,,放心,12,14,整体,正面
302,,,,非常好用,6,10,整体,正面
303,,,,油而不腻,23,27,使用体验,正面
304,,,,还不错,2,5,整体,正面
304,,,,轻薄,6,8,使用体验,正面
304,,,,不油腻,8,11,使用体验,正面
305,,,,很好用,2,5,整体,正面
306,,,,很均匀,4,7,使用体验,正面
306,,,,挺好的,0,3,整体,正面
307,,,,挺好的,14,17,整体,正面
308,,,,挺好用的,0,4,整体,正面
308,,,,不卡粉,5,8,使用体验,正面
308,,,,很自然,11,14,功效,正面
308,,,,喜欢,23,25,整体,正面
309,礼品,4,6,超级喜欢,6,10,服务,正面
310,,,,挺好用,11,14,整体,正面
311,,,,喜欢,29,31,整体,正面
312,,,,非常好用,0,4,整体,正面
313,快递,12,14,好快,14,16,物流,正面
314,包装,0,2,很满意,2,5,包装,正面
315,,,,很滑嫩,19,22,使用体验,正面
315,,,,不刺激,23,26,使用体验,正面
316,,,,有点油,6,9,使用体验,负面
317,,,,很好用,7,10,整体,正面
318,,,,很喜欢,8,11,整体,正面
319,,,,还不错,0,3,整体,正面
319,,,,挺喜欢的,3,7,整体,正面
320,,,,很好闻,3,6,气味,正面
320,,,,应该不错,15,19,整体,正面
320,赠品,20,22,很好,22,24,价格,正面
320,赠品,20,22,很实在,24,27,价格,正面
321,,,,挺好,7,9,整体,正面
321,,,,是正品,14,17,真伪,正面
322,,,,还可以,17,20,整体,正面
323,速度,4,6,很快,6,8,物流,正面
323,,,,不错,0,2,整体,正面
324,,,,好用,7,9,整体,正面
325,发货送货,2,6,很快,6,8,物流,正面
325,服务态度,9,13,很好,13,15,物流,正面
325,质量,16,18,值得信赖,18,22,其他,正面
325,,,,好评,23,25,整体,正面
326,,,,超实惠,8,11,价格,正面
